"""No (Text)""","""Marga (Text)""","""Marga (Link)""","""Angkola (Text)""","""Karo (Text)""","""Mandailing (Text)""","""Pakpak (Text)""","""Simalungun (Text)""","""Toba (Text)""","""Keterangan (Text)""","""Description"""
"""244""","""Sihite""","""https://id.wikipedia.org/wiki/Sihite""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sihite (Surat Batak: ᯘᯪᯂᯪᯖᯩ) merupakan salah satu marga Batak Toba yang berasal dari Bakkara. Marga Sihite merupakan keturunan dari Toga Sihite, anak kelima dari Si Raja Oloan.[1]"""
"""245""","""Sihole""","""https://id.wikipedia.org/wiki/Sihole""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sihole adalah salah satu marga Batak Toba yang berasal dari Sianjur Mulamula. Leluhur marga Sihole merupakan keturunan dari Limbong Mulana."""
"""246""","""Sihombing""","""https://id.wikipedia.org/wiki/Sihombing""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sihombing (Surat Batak: ᯘᯪᯂᯔᯬ᯲ᯅᯪᯰ) adalah salah satu marga Batak Toba yang berasal dari Tipang, Baktiraja, Humbang Hasundutan."""
"""247""","""Sihotang""","""https://id.wikipedia.org/wiki/Sihotang""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sihotang (Surat Batak: ᯘᯪᯂᯬᯖᯰ ) adalah salah satu marga Batak Toba yang merupakan keturunan dari Sigodang Ulu, anak kedua dari Siraja Oloan."""
"""248""","""Sijabat""","""https://id.wikipedia.org/wiki/Sijabat""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sijabat (Surat Batak: ᯘᯪᯐᯅᯖ᯲) merupakan salah satu marga Batak Toba yang berasal dari Samosir. Marga Sijabat diyakini sebagai asal dari marga Dajawak yang ada di Simalungun serta marga Ginting Jawak yang ada di Taneh Karo."""
"""249""","""Siketang/Manik Siketang/Siketang Manik""","""https://id.wikipedia.org/wiki/Siketang""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Sihotang (Surat Batak: ᯘᯪᯂᯬᯖᯰ ) adalah salah satu marga Batak Toba yang merupakan keturunan dari Sigodang Ulu, anak kedua dari Siraja Oloan."""
"""250""","""Silaen""","""https://id.wikipedia.org/wiki/Silaen""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Tampubolon""","""Silaen (Surat Batak: ᯘᯪᯞᯀᯩᯉ᯲) adalah salah satu marga Batak Toba. Silaen adalah marga yang dipakai oleh sebagian keturunan Raja Sapala Tua Tampuk Nabolon, tepatnya yang berasal dari garis keturunan cucu Raja Sapala Tua Tampuk Nabolon, yaitu:  Sondiraja Silaen & Badiaraja Silaen. Tetapi Seluruh keturunan Badiaraja memakai Marga Sitompul karena adanya perjanjian diantara marga Tampubolon (Silaen) dengan Sitompul. Marga Silaen berasal dari daerah Silaen, Toba."""
"""251""","""Silaban""","""https://id.wikipedia.org/wiki/Silaban""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Sihombing""","""Silaban (Surat Batak: ᯘᯪᯞᯅᯉ᯲) adalah salah satu marga Batak Toba yang berasal dari Tipang, Baktiraja, Humbang Hasundutan. Leluhur marga Silaban adalah Borsak Jungjungan, anak sulung dari Toga Sihombing."""
"""252""","""Silalahi""","""https://id.wikipedia.org/wiki/Silalahi""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Raja Silahisabungan (Surat Batak: ᯘᯪᯞᯞᯂᯪ)  merupakan salah satu nenek moyang marga-marga Batak  yang berasal dari Silalahi Nabolak."""
"""253""","""Silampuyang""","""https://id.wikipedia.org/wiki/Silampuyang""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Saragih""","""Saragih (Surat Batak Simalungun:  ᯙᯓᯏᯫᯱ) adalah salah satu dari empat kelompok marga utama Batak Simalungun. Leluhur awal marga Saragih menempati wilayah Partuanan Raya dan Partuanan Silampuyang (sekarang merupakan bagian dari Kota Pematangsiantar dan Kecamatan Siantar, Simalungun).[1] Tersebar ke Taneh Karo sebagai Ginting Seragih"""
"""254""","""Silangit""","""https://id.wikipedia.org/wiki/Silangit""","""T""","""Y""","""T""","""T""","""Y""","""T""","""Dalam subetnis Karo adalah submarga Tarigan  Dalam sub-etnis Simalungun adalah submarga Purba""","""No description found"""
"""255""","""Sileang""","""https://id.wikipedia.org/wiki/Sileang""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sihite (Surat Batak: ᯘᯪᯂᯪᯖᯩ) merupakan salah satu marga Batak Toba yang berasal dari Bakkara. Marga Sihite merupakan keturunan dari Toga Sihite, anak kelima dari Si Raja Oloan.[1]"""
"""256""","""Silitonga""","""https://id.wikipedia.org/wiki/Silitonga""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Silitonga (Surat Batak: ᯘᯪᯞᯪᯖᯬᯝ) adalah salah satu marga Batak Toba. Silitonga adalah marga yang dipakai oleh keturunan Datu Nabolon (Raja Silitonga) hingga saat ini. Marga Silitonga memiliki asal daerah dari Balige; namun sejak awal perkembangannya marga Silitonga telah hijrah dari Balige ke Sipahutar, sehingga daerah Sipahutar kemudian lebih dikenal sebagai asal daerah marga Silitonga. Di Desa Sipahutar juga terdapat tugu persatuan marga Silitonga."""
"""257""","""Simaibang""","""https://id.wikipedia.org/wiki/Simaibang""","""T""","""T""","""T""","""Y""","""Y""","""Y""","""""","""Simaibang adalah salah satu marga Batak yang terdapat dalam masyarakat Batak Toba, Batak Simalungun dan Batak Dairi. Leluhur marga Simaibang merupakan merupakan keturunan Toga Sinaga yang berasal dari Samosir. Marga Simaibang memiliki saudara seayah seibu dengan marga Simanjorang dan Simandalahi."""
"""258""","""Simalango""","""https://id.wikipedia.org/wiki/Simalango""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Simalango (Surat Batak: ᯘᯪᯔᯞᯝᯬ) adalah salah satu marga Batak Toba yang berasal dari Samosir.[1]"""
"""259""","""Simamora""","""https://id.wikipedia.org/wiki/Simamora""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Simamora (Surat Batak: ᯘᯪᯔᯔᯬᯒ) adalah salah satu marga Batak Toba yang berasal dari Tipang, Baktiraja, Humbang Hasundutan."""
"""260""","""Simandalahi""","""https://id.wikipedia.org/wiki/Simandalahi""","""T""","""T""","""T""","""T""","""Y""","""Y""","""Submarga Sinaga""","""Simandalahi adalah salah satu marga Batak yang terdapat dalam masyarakat Batak Toba, Batak Simalungun dan Batak Dairi. Leluhur marga Simandalahi merupakan merupakan keturunan Toga Sinaga yang berasal dari Samosir. Marga Simandalahi memiliki saudara seayah seibu dengan marga Simanjorang dan Simaibang."""
"""261""","""Simangunsong""","""https://id.wikipedia.org/wiki/Simangunsong""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Simangunsong (Surat Batak: ᯘᯪᯔᯝᯉᯮ᯲ᯘᯬᯰ) adalah salah satu marga Batak Toba yang berasal dari daerah Balige, Toba."""
"""262""","""Simanjorang""","""https://id.wikipedia.org/wiki/Simanjorang""","""T""","""T""","""T""","""T""","""Y""","""Y""","""Submarga Sinaga""","""Simanjorang adalah salah satu marga Batak yang terdapat dalam masyarakat Batak Toba, Batak Simalungun dan Batak Dairi. Leluhur marga Simanjorang adalah Jorang Raja yang merupakan keturunan Toga Sinaga yang berasal dari Samosir. Marga Simanjorang memiliki saudara seayah seibu dengan marga Simaibang dan Simandalahi."""
"""263""","""Simanjuntak""","""https://id.wikipedia.org/wiki/Simanjuntak""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Simanjuntak (Surat Batak: ᯘᯪᯔᯉ᯲ᯐᯉᯮ᯲ᯖᯂ᯲) adalah salah satu marga Batak Toba yang berasal dari daerah Balige, Kabupaten Toba, Sumatera Utara.[1]"""
"""264""","""Simanullang""","""https://id.wikipedia.org/wiki/Simanullang""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Simanullang (Surat Batak: ᯘᯪᯔᯉᯞᯮ᯲ᯞᯰ) atau Manullang (Surat Batak: ᯔᯉᯞᯮ᯲ᯞᯰ) adalah salah satu marga Batak Toba yang berasal dari Bangkara. Marga Simanullang merupakan keturunan dari Toga Simanullang, anak bungsu dari Siraja Oloan."""
"""265""","""Simanungkalit""","""https://id.wikipedia.org/wiki/Simanungkalit""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Simanungkalit (Surat Batak: ᯘᯪᯔᯉᯮᯰᯂᯞᯖᯪ᯲) adalah salah satu marga Batak Toba yang masuk ke dalam kelompok marga-marga keturunan Naipospos."""
"""266""","""Simaremare""","""https://id.wikipedia.org/wiki/Simaremare""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Aritonang""","""Simaremare (Surat Batak: ᯘᯪᯔᯒᯩᯔᯒᯩ) adalah salah satu marga Batak Toba yang berasal dari Aritonang, Muara, Tapanuli Utara. Simaremare merupakan sub-marga dari marga Aritonang yang mana leluhur marga Simaremare adalah Tuan Simare, anak ketiga dari Toga Aritonang."""
"""267""","""Simargolang""","""https://id.wikipedia.org/wiki/Simargolang""","""T""","""T""","""Y""","""T""","""T""","""T""","""""","""Simargolang (Surat Batak: ᯘᯪᯔᯒ᯲ᯎᯬᯞᯰ ) adalah salah satu marga Batak yang berasal dari Asahan. Marga Simargolang bersama dengan marga Nahombang dan marga Pane adalah tiga marga penghuni daerah sepanjang Aek Toba, yang oleh mereka dinamai Asahan. Ketiga marga ini kerap disebut sebagai orang-orang Batak Pardembanan, yang memiliki ciri kebudayaan yang dekat dengan Batak Toba."""
"""268""","""Simaringga""","""https://id.wikipedia.org/wiki/Simaringga""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Damanik""","""Simaringga disebut juga Maringga  adalah salah satu marga Batak Simalungun. Simaringga adalah salah satu marga Batak yang memiliki jumlah populasi yang sedikit. Hingga dewasa ini, marga Simaringga masih belum menemukan kepastian perihal leluhurnya yang menyebabkan pada internal marga Simaringga terbagi dalam pandangan yang berbeda mengenai asal-usul marga ini. Adapun perbedaan pendapat tersebut adalah antara marga Simaringga berasal dari marga Sinaga atau marga Damanik."""
"""270""","""Simarmata""","""https://id.wikipedia.org/wiki/Simarmata""","""T""","""T""","""T""","""T""","""Y""","""Y""","""""","""Simarmata (Surat Batak: ᯘᯪᯔᯒ᯲ᯔᯖ) adalah salah satu marga Batak yang berasal dari Samosir. Dalam masyarakat Batak Simalungun, marga Simarmata merupakan bagian dari marga Saragih."""
"""271""","""Simarsoit""","""https://id.wikipedia.org/wiki/Simarsoit""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Sihotang""","""Simarsoit adalah salah satu marga Batak Toba yang berasal dari wilayah Harian, Samosir. Leluhur marga Simarsoit merupakan anak dari Raja Sigodang Ulu Sihotang."""
"""272""","""Simatupang""","""https://id.wikipedia.org/wiki/Simatupang""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Simatupang (Surat Batak: ᯘᯪᯔᯖᯮᯇᯰ) adalah salah satu marga Batak Toba yang berasal dari Muara, Tapanuli Utara. Marga Simatupang merupakan keturunan dari Toga Simatupang, anak kelima dari Si Raja Lontung."""
"""273""","""Simbolon""","""https://id.wikipedia.org/wiki/Simbolon""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""No description found"""
"""274""","""Simbulan""","""https://id.wikipedia.org/w/index.php?title=Simbulan&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""Failed to fetch page"""
"""275""","""Simorangkir""","""https://id.wikipedia.org/wiki/Simorangkir""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Panggabean""","""Simorangkir (Surat Batak: ᯘᯪᯔᯬᯒᯰᯂᯒᯪ᯲; ditulis juga sebagai Simarangkir) adalah salah satu marga Batak Toba yang berasal dari daerah Siatas Barita, Tapanuli Utara. Leluhur marga Simorangkir merupakan anak kedua dari Si Raja Panggabean dan termasuk ke dalam kelompok marga Si Opat Pusoran.[1]"""
"""276""","""Sinabariba""","""https://id.wikipedia.org/wiki/Sinabariba""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Silalahi""","""Sidabariba (Surat Batak: ᯘᯪᯑᯅᯒᯪᯅ) adalah salah satu marga Batak Toba yang berasal dari Silalahi Nabolak. Leluhur marga Sidabariba adalah Bariba Raja yang merupakan anak dari Silahi Sabungan."""
"""277""","""Sinabang""","""https://id.wikipedia.org/wiki/Sinabang""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sinabang adalah ibu kota Kabupaten Simeulue, Aceh, Indonesia. Kota Sinabang terletak di bagian timur Pulau Simeulue. Berdasarkan Sensus Penduduk 2010, populasi Simeulue Timur berjumlah 28.927,[1] dengan komposisi etnis terbesar merupakan orang Minangkabau, Aceh, dan Simeulue, kabupaten simeulue memimiliki beberapa pulau, yakni pulau simeulue cot, dan sebagainya.
Pada tahun 2011 pemerintah simeulue menyatakan bahwa di pulau simeulue
Menyimpan banyak minyak bumi."""
"""278""","""Sinabutar""","""https://id.wikipedia.org/wiki/Sinabutar""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""No description found"""
"""279""","""Sinadihayangbodat""","""https://id.wikipedia.org/w/index.php?title=Sinadihayangbodat&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Sinaga""","""Failed to fetch page"""
"""280""","""Sinadihayanghataran""","""https://id.wikipedia.org/w/index.php?title=Sinadihayanghataran&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Sinaga""","""Failed to fetch page"""
"""281""","""Sinaga""","""https://id.wikipedia.org/wiki/Sinaga""","""T""","""T""","""T""","""T""","""Y""","""Y""","""""","""Sinaga (Surat Batak: ᯘᯪᯉᯎ; ᯙᯫᯉᯏ) adalah salah satu marga Batak Toba dan salah satu dari 4 marga utama Batak Simalungun. Marga Sinaga menurut masyarakat Batak Toba merupakan keturunan dari Toga Sinaga, anak sulung dari Raja Lontung dan berasal dari Urat, Samosir."""
"""282""","""Sinambela""","""https://id.wikipedia.org/wiki/Sinambela""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sinambela (Surat Batak: ᯘᯪᯉᯔ᯲ᯅᯩᯞ) adalah salah satu marga Batak Toba yang berasal dari Desa Sinambela di Baktiraja. Marga Sinambela merupakan keturunan dari Toga Sinambela, anak keempat dari Siraja Oloan.[1]"""
"""283""","""Sinamo""","""https://id.wikipedia.org/wiki/Sinamo""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Sinamo (Surat Batak: ᯘᯪᯉᯔᯬ) adalah salah satu marga Batak Pakpak yang berasal dari Tanoh Simsim. Marga ini termasuk ke dalam kelompok marga Sipitu Marga bersama marga Ujung, Angkat, Bintang, Kudadiri, Capah, dan Gajahmanik."""
"""284""","""Sinisuka""","""https://id.wikipedia.org/w/index.php?title=Sinisuka&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Ginting""","""Failed to fetch page"""
"""285""","""Sinubulan""","""https://id.wikipedia.org/wiki/Sinubulan""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""Sinubulan (Surat Batak: ᯘᯪᯉᯬᯆᯬᯞᯉ᯳; disebut juga sebagai Karokaro Sinubulan) adalah salah satu marga Batak Karo yang termasuk ke dalam induk marga Karokaro.[1]"""
"""286""","""Sinuhaji""","""https://id.wikipedia.org/wiki/Sinuhaji""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""Sinuhaji adalah salah satu cabang (sub-) marga Karo-Karo, yaitu salah satu dari lima induk marga pada Suku Karo."""
"""287""","""Sinukaban""","""https://id.wikipedia.org/wiki/Sinukaban""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""Sinukaban (Surat Batak:ᯘᯪᯉᯬᯂᯆᯉ᯳) adalah salah satu marga Batak Karo yang termasuk ke dalam induk marga pada Karokaro."""
"""288""","""Sinukapur""","""https://id.wikipedia.org/w/index.php?title=Sinukapur&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Sembiring""","""Failed to fetch page"""
"""289""","""Sinulaki""","""https://id.wikipedia.org/wiki/Sinulaki""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Sembiring""","""Sinulaki adalah salah satu cabang (sub-) marga Sembiring, yaitu salah satu dari lima induk marga pada Suku Karo."""
"""290""","""Sinulingga""","""https://id.wikipedia.org/wiki/Sinulingga""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""Sinulingga (Surat Batak Karo: ᯘᯪᯉᯬᯞᯪᯰᯎ) adalah salah satu marga Batak Karo yang termasuk ke dalam induk marga Karokaro."""
"""291""","""Sinupayung""","""https://id.wikipedia.org/wiki/Sinupayung""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Sembiring""","""Sinupayung adalah salah satu cabang (sub-) marga Sembiring, yaitu salah satu dari lima induk marga pada Suku Karo."""
"""292""","""Sinuraya""","""https://id.wikipedia.org/wiki/Sinuraya""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""Sinuraya adalah salah satu cabang (sub-) marga Karo-Karo, yaitu salah satu dari lima induk marga pada Suku Karo. Marga Sinuraya sendiri tersebar di daerah Singgamanik, Bunuraya, dan Kandibata.
Marga Sinuraya sendiri bersaudara dengan Sinuhaji keduanya lahir kembar. Marga ini mendirikan kampung Bunuraya dan Singgamanik. Sinuraya Bunuraya sebagian pindah ke Mulawari dan Sigenderang, sedang Sinuraya Singgamanik sebagian pindah ke Kandibata dan Jeraya."""
"""293""","""Sinusinga""","""https://id.wikipedia.org/w/index.php?title=Sinusinga&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Ginting""","""Failed to fetch page"""
"""294""","""Sinurat""","""https://id.wikipedia.org/wiki/Sinurat""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sinurat (Surat Batak Toba: ᯘᯪᯉᯮᯒᯖ᯲) adalah salah satu marga Batak Toba yang berasal dari Harangan Parik, Sionggang, Lumbanpea, Balige. Leluhur marga Sinurat merupakan salah satu cucu dari Raja Bungabunga yang bergelar Raja parmahan Silalahi, keturunan dari Sondi Raja, anak ketiga dari Raja Silahisabungan."""
"""295""","""Sipahutar""","""https://id.wikipedia.org/wiki/Sipahutar""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""No description found"""
"""296""","""Sipangkar""","""https://id.wikipedia.org/wiki/Sipangkar""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sipangkar adalah salah satu marga Batak Toba yang berasal dari Silalahi Nabolak. Leluhur marga Sipangkar adalah Raja Siapangkar yang merupakan anak dari Tungkir Raja dan merupakan keturunan Silahisabungan."""
"""297""","""Sipapaga""","""https://id.wikipedia.org/wiki/Sipapaga""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Nainggolan""","""Siampapaga atau Sibatuara Siampapaga adalah salah satu marga Batak Toba yang merupakan sub-marga dari marga Nainggolan. Marga Siampapaga merupakan keturunan dari Siampapaga, anak kedua dari Batuara dan salah satu cicit dari Toga Nainggolan, yang berasal dari Nainggolan, Samosir.[1]"""
"""298""","""Sipardabuan""","""https://id.wikipedia.org/wiki/Sipardabuan""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Sihotang""","""Sihotang (Surat Batak: ᯘᯪᯂᯬᯖᯰ ) adalah salah satu marga Batak Toba yang merupakan keturunan dari Sigodang Ulu, anak kedua dari Siraja Oloan."""
"""299""","""Sipayung""","""https://id.wikipedia.org/wiki/Sipayung""","""T""","""T""","""T""","""T""","""Y""","""Y""","""""","""No description found"""
"""300""","""Sipoldas""","""https://id.wikipedia.org/wiki/Sipoldas""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Saragih""","""Saragih (Surat Batak Simalungun:  ᯙᯓᯏᯫᯱ) adalah salah satu dari empat kelompok marga utama Batak Simalungun. Leluhur awal marga Saragih menempati wilayah Partuanan Raya dan Partuanan Silampuyang (sekarang merupakan bagian dari Kota Pematangsiantar dan Kecamatan Siantar, Simalungun).[1] Tersebar ke Taneh Karo sebagai Ginting Seragih"""
"""301""","""Sirait""","""https://id.wikipedia.org/wiki/Sirait""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sirait (Surat Batak: ᯘᯪᯒᯤᯖ᯲) adalah salah satu marga Batak Toba yang berasal dari Ajibata, Toba.[1]"""
"""302""","""Siregar""","""https://id.wikipedia.org/wiki/Siregar""","""Y""","""T""","""Y""","""T""","""T""","""Y""","""""","""Siregar (Surat Batak: ᯘᯪᯒᯩᯎᯒ᯲; ᯚᯪᯒᯩᯎᯒ᯲) adalah salah satu marga Batak yang berasal dari Muara, Tapanuli Utara. Marga Siregar merupakan keturunan dari Toga Siregar, anak bungsu dari Si Raja Lontung."""
"""303""","""Siringoringo""","""https://id.wikipedia.org/wiki/Siringoringo""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Situmorang""","""Siringoringo (Surat Batak: ᯘᯪᯒᯪᯝᯬᯒᯪᯝᯬ) adalah salah satu marga Batak Toba yang berasal dari Sipinggan, Samosir. Leluhur marga Siringoringo adalah Raja Rea, yang merupakan keturunan dari Tuan Situmorang.[1]"""
"""304""","""Sitakar""","""https://id.wikipedia.org/wiki/Sitakar""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Sitakar atau Sitangkar adalah salah satu marga Batak yang umumnya mewarisi dua ciri kebudayaan, yakni Batak Toba dan Batak Pakpak. Dalam budaya Batak Pakpak dikenal dengan marga Sitakar sedangkan dalam budaya Batak Toba dikenal dengan marga Sitangkar. Marga Sitakar berkerabat dengan marga Padang Batanghari dan Tinendung."""
"""305""","""Sitepu""","""https://id.wikipedia.org/wiki/Sitepu""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""Sitepu (Surat Batak: ᯘᯪᯗᯧᯇᯬ; disebut juga sebagai Karokaro Sitepu) adalah salah satu marga Batak Karo yang termasuk ke dalam induk marga Karokaro.[1]"""
"""306""","""Sitindaon""","""https://id.wikipedia.org/wiki/Sitindaon""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sitindaon atau Tindaon (Surat Batak: ᯘᯪᯖᯉᯪ᯲ᯑᯀᯉᯬ᯲) adalah salah satu marga Batak Toba yang berasal dari wilayah Onan Runggu, Samosir. Marga Sitindaon merupakan keturunan dari Situnggar Nageduk Sitindaon, anak yang lahir dari pasangan Inarnaiborngin dan Siboru Naitang yang selanjutnya diangkat menjadi anak bungsu dari Naibaho Hutaparik, keturunan Baho Raja, anak sulung Siraja Oloan.[1]"""
"""307""","""Sitinjak""","""https://id.wikipedia.org/wiki/Sitinjak""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Samosir""","""Sitinjak (Surat Batak: ᯘᯪᯖᯉᯪ᯲ᯐᯂ᯲) adalah salah satu marga Batak Toba yang berasal dari wilayah Onan Runggu, Samosir. Marga Sitinjak merupakan keturunan dari Toga Sitinjak, anak bungsu dari Raja Sonang, keturunan dari Toga Pandiangan."""
"""308""","""Sitio""","""https://id.wikipedia.org/wiki/Sitio""","""T""","""T""","""T""","""T""","""Y""","""Y""","""""","""Berdasarkan informasi dari data tarombo dan informasi dari orang-orang tua di Tamba Samosir, maka dapat diketahui bahwa marga Sitio adalah keturunan dari marga Tamba Tua di Samosir. Adapun Tamba Tua memiliki tiga orang anak yaitu Sitonggor Dolok, Sitonggor Tonga dan Sitonggor Toruan. Anak yang Bungsu Sitonggor Toruan mempunyai dua anak yaitu Op.Tuan Rumaroha dan Op.Tuan Pinahorbo. Op.Tuan Rumaroha mempunyai dua anak yaitu Tuan Sirumaroha dan Tuan Sirumarambe. Tuan Sirumarambe (Narambean) mempunyai empat anak yaitu Tuan Gumul, Tuan Siarangaji, Tuan Nihuta, Guru Matio. Guru Matio mempunyai anak dua, yaitu Sitio Raja dan Napitu Raja. Adapun Sitio Raja dan Napitu raja adalah anak kembar. Sitio Raja (Raja Said Guru Mardulpang) mempunyai dua anak, yaitu Guru Martua dan Guru Lingkang. (bersambung...)"""
"""309""","""Sitohang""","""https://id.wikipedia.org/wiki/Sitohang""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Situmorang""","""Sitohang (Surat Batak: ᯘᯪᯖᯬᯂᯰ ) adalah salah satu marga Batak Toba yang berasal dari Palipi, Samosir. Leluhur marga Sitohang adalah Raja Babiat, yang merupakan keturunan dari Tuan Situmorang.[1]"""
"""310""","""Sitompul""","""https://id.wikipedia.org/wiki/Sitompul""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sitompul (Surat Batak: ᯘᯪᯖᯔᯬ᯲ᯇᯞᯮ᯲) adalah salah satu marga Batak Toba yang berasal dari daerah Sitompul, Siatas Barita, Tapanuli Utara. Marga Sitompul merupakan keturunan dari Raja Sitompul, anak sulung dari Raja Sobu."""
"""311""","""Sitopu""","""https://id.wikipedia.org/w/index.php?title=Sitopu&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""""","""Failed to fetch page"""
"""312""","""Sitorus""","""https://id.wikipedia.org/wiki/Sitorus""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sitorus (Surat Batak: ᯘᯪᯖᯬᯒᯘᯮ᯲) adalah salah satu marga Batak Toba yang berasal dari daerah Sibisa, Toba. Pada umumnya, kelompok marga Sitorus yang merupakan keturunan Raja Sitorus Pane menggunakan marga Sitorus, Sitorus Pane, atau hanya Pane saja.[1]"""
"""313""","""Situmeang""","""https://id.wikipedia.org/wiki/Situmeang""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Situmeang (Surat Batak: ᯘᯪᯖᯮᯔᯩᯀᯰ) adalah salah satu marga Batak Toba yang masuk ke dalam kelompok marga-marga keturunan Naipospos."""
"""314""","""Situmorang""","""https://id.wikipedia.org/wiki/Situmorang""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Situmorang (Surat Batak: ᯘᯪᯖᯮᯔᯬᯒᯰ) adalah salah satu marga Batak Toba yang berasal dari Urat, Samosir. Marga Situmorang merupakan keturunan dari Tuan Situmorang, anak kedua dari Raja Lontung."""
"""315""","""Situngkir""","""https://id.wikipedia.org/wiki/Situngkir""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Silalahi""","""Situngkir (Surat Batak: ᯘᯪᯖᯮᯰᯂᯒᯪ᯲) adalah salah satu marga Batak Toba yang berasal dari Silalahi Nabolak.[1]"""
"""316""","""Sola""","""https://id.wikipedia.org/w/index.php?title=Sola&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Damanik""","""Failed to fetch page"""
"""317""","""Solin""","""https://id.wikipedia.org/wiki/Solin""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Solin (Surat Batak: ᯘᯬᯞᯪᯉ᯲) adalah salah satu marga Batak Pakpak yang berasal dari Siempat Rube, Pakpak Bharat. Marga Solin memiliki hubungan kekerabatan dengan marga Berutu dan marga Padang. Ketiganya merupakan marga-marga tertua dalam masyarakat Pakpak di Suak Simsim."""
"""318""","""Sorganimusu""","""https://id.wikipedia.org/wiki/Sorganimusu""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Sihotang""","""Sihotang (Surat Batak: ᯘᯪᯂᯬᯖᯰ ) adalah salah satu marga Batak Toba yang merupakan keturunan dari Sigodang Ulu, anak kedua dari Siraja Oloan."""
"""319""","""Sorimunggu""","""https://id.wikipedia.org/wiki/Sorimunggu""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Manalu""","""No description found"""
